Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",Ralph Leighton,"=""0393355640""","=""9780393355642""",4,W. W. Norton & Company,Paperback,288,2018,1988,,2023/12/01,,,read,,,,1,0
49412581,"The Intelligence Supernova: Essays on Cybernetic Transhumanism, The Simulation Singularity & The Syntellect Emergence (The Science and Philosophy of Information)",Alex M. Vikoulov,"Vikoulov, Alex M.",Antonin Tuynman,"=""1733426108""","=""9781733426107""",0,Ecstadelic Media Group,Kindle Edition,150,2019,,,2023/11/15,to-read,to-read (#30),to-read,,,,0,0
17863,Accelerando,Charles Stross,"Stross, Charles",,"=""0441014151""","=""9780441014156""",5,Ace,Mass Market Paperback,415,2006,2005,,2021/07/11,currently-reading,currently-reading (#5),currently-reading,,,,1,0
8452718,Dear Hacker: Letters to the Editor of 2600,Emmanuel Goldstein,"Goldstein, Emmanuel",,"=""0470620064""","=""9780470620069""",0,Wiley,Hardcover,576,2010,2010,,2023/11/12,to-read,to-read (#29),to-read,,,,0,0
17866,Glasshouse,Charles Stross,"Stross, Charles",,"=""0441014038""","=""9780441014033""",0,Ace Hardcover,Hardcover,335,2006,2006,,2023/11/12,to-read,to-read (#28),to-read,,,,0,0
156784,Permutation City,Greg Egan,"Egan, Greg",,"=""006105481X""","=""9780061054815""",0,HarperPrism,Mass Market Paperback,352,1995,1994,,2023/11/12,to-read,to-read (#27),to-read,,,,0,0
75291955,The Uploading of Bridgett: A novella,S. McMoyler,"McMoyler, S.",,"=""""","=""""",0,,Kindle Edition,93,2022,,,2023/11/12,to-read,to-read (#26),to-read,,,,0,0
16144337,Human Purpose and Transhuman Potential: A Cosmic Vision of Our Future Evolution,Ted Chu,"Chu, Ted",,"=""1579830250""","=""9781579830250""",0,Origin Press,Hardcover,486,2014,2013,,2018/09/30,to-read,to-read (#8),to-read,,,,0,0
3350157,Plato's Ghost: The Modernist Transformation of Mathematics,Jeremy Gray,"Gray, Jeremy",,"=""0691136106""","=""9780691136103""",0,Princeton University Press,Hardcover,528,2008,2008,,2023/09/20,currently-reading,currently-reading (#4),currently-reading,,,,1,0
1513062,Georg Cantor: His Mathematics and Philosophy of the Infinite,Joseph Warren Dauben,"Dauben, Joseph Warren",,"=""0691024472""","=""9780691024479""",0,Princeton University Press,Paperback,404,1990,1979,,2023/10/03,to-read,to-read (#25),to-read,,,,0,0
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803700""","=""9780553803709""",5,Bantam Books,Hardcover,224,2004,1950,,2023/10/01,,,read,,,,1,0
9250858,Semantography (Blissymbolics): A Logical Writing for an Illogical World,Charles K. Bliss,"Bliss, Charles K.",,"=""""","=""""",4,"Semantography (Blissymbolics) Publications, Australia",Hardcover,881,1965,1965,,2023/10/01,,,read,,,,1,0
60643059,The Network State: How To Start a New Country,Balaji S. Srinivasan,"Srinivasan, Balaji S.",,"=""""","=""""",0,Amazon Kindle,Kindle Edition,262,2022,,,2023/09/27,to-read,to-read (#24),to-read,,,,0,0
1062493,"Can't Eat, Won't Eat: Dietary Difficulties and Autistic Spectrum Disorders",Brenda Legge,"Legge, Brenda",,"=""1853029742""","=""9781853029745""",0,Jessica Kingsley,Paperback,208,2008,2002,,2023/09/24,to-read,to-read (#23),to-read,,,,0,0
982473,Techniques of Constructive Analysis (Universitext),Douglas S. Bridges,"Bridges, Douglas S.",Luminita Simona Vita,"=""038733646X""","=""9780387336466""",0,Springer,Kindle Edition,,2006,2006,,2023/09/15,to-read,to-read (#22),to-read,,,,0,0
